"Longitude","Latitude"
1505142.64902937,7685047.84807365
1535142.64902937,7705047.84807365
575142.649029367,6575047.84807364
7185142.64902937,5945047.84807365
675142.649029367,6625047.84807365
5135142.64902936,7515047.84807365
3435142.64902937,5265047.84807364
655142.649029367,6615047.84807364
5675142.64902936,7015047.84807365
875142.649029366,6415047.84807365
1225142.64902937,7315047.84807364
665142.649029367,6475047.84807365
575142.649029367,7195047.84807364
1955142.64902937,7485047.84807365
1055142.64902937,6405047.84807364
665142.649029367,6415047.84807365
1065142.64902937,6395047.84807364
855142.649029367,6385047.84807364
845142.649029367,6435047.84807365
595142.649029367,6585047.84807365
595142.649029367,7155047.84807364
5275142.64902937,7505047.84807365
625142.649029367,6575047.84807364
655142.649029367,6405047.84807364
655142.649029367,6535047.84807365
4365142.64902937,6155047.84807365
655142.649029366,6375047.84807365
615142.649029367,6495047.84807365
585142.649029367,6485047.84807364
1795142.64902937,7525047.84807365
635142.649029367,6455047.84807364
-484857.350970633,5115047.84807365
745142.649029367,6425047.84807364
1885142.64902937,6135047.84807365
655142.649029367,6385047.84807364
575142.649029367,6545047.84807365
715142.649029367,6605047.84807364
865142.649029366,7505047.84807365
855142.649029367,7605047.84807365
1065142.64902937,5515047.84807365
815142.649029367,5615047.84807365
135142.649029367,5785047.84807364
1165142.64902937,5575047.84807365
575142.649029367,7135047.84807364
555142.649029367,5235047.84807365
1065142.64902937,5615047.84807365
7205142.64902937,5925047.84807364
845142.649029366,7535047.84807365
1205142.64902937,7405047.84807364
1215142.64902937,5565047.84807364
755142.649029366,5605047.84807365
215142.649029367,5765047.84807365
135142.649029367,5775047.84807365
2905142.64902937,6355047.84807365
1185142.64902937,5535047.84807365
725142.649029367,5075047.84807365
-494857.350970633,5175047.84807365
305142.649029367,5265047.84807364
1105142.64902937,5615047.84807365
185142.649029367,5615047.84807365
3305142.64902937,6305047.84807365
585142.649029367,5565047.84807364
2735142.64902937,6395047.84807364
925142.649029367,6525047.84807364
895142.649029367,5555047.84807365
725142.649029368,7295047.84807364
2885142.64902937,6255047.84807364
255142.649029367,5805047.84807364
625142.649029367,5565047.84807364
-414857.350970633,5165047.84807365
1275142.64902937,5665047.84807364
595142.649029367,7125047.84807365
205142.649029367,5745047.84807364
1205142.64902937,7395047.84807365
495142.649029367,6755047.84807365
825142.649029367,6625047.84807365
1275142.64902937,5685047.84807365
855142.649029367,5575047.84807365
845142.649029367,5585047.84807365
175142.649029367,5785047.84807364
845142.649029367,7525047.84807365
-54857.3509706333,5115047.84807365
815142.649029367,5575047.84807365
445142.649029366,5955047.84807365
965142.649029367,5575047.84807365
1015142.64902937,5535047.84807365
1105142.64902937,5705047.84807365
-504857.350970633,5165047.84807365
195142.649029367,5755047.84807365
375142.649029367,6805047.84807365
1235142.64902937,5545047.84807364
1325142.64902937,5645047.84807365
215142.649029367,5715047.84807365
475142.649029367,6715047.84807364
745142.649029367,5065047.84807365
-134857.350970633,5125047.84807365
-324857.350970634,4905047.84807364
-234857.350970633,4575047.84807365
-174857.350970633,4865047.84807364
95142.6490293667,5075047.84807365
3815142.64902937,6905047.84807364
-294857.350970633,4455047.84807365
2035142.64902937,4945047.84807363
-144857.350970633,5165047.84807365
-214857.350970633,5095047.84807365
2645142.64902937,6505047.84807364
-94857.3509706333,5085047.84807365
-194857.350970633,5095047.84807365
-224857.350970633,4585047.84807365
75142.6490293667,5085047.84807365
-244857.350970633,4985047.84807365
3075142.64902937,5305047.84807365
2035142.64902937,4895047.84807364
-164857.350970633,4865047.84807364
-14857.3509706333,6195047.84807364
-384857.350970633,4685047.84807364
-144857.350970633,4805047.84807364
55142.6490293667,5085047.84807365
2915142.64902937,6165047.84807365
1845142.64902937,4885047.84807364
-254857.350970633,4575047.84807365
-204857.350970633,5045047.84807365
-484857.350970634,4825047.84807364
-174857.350970633,4845047.84807364
-44857.3509706333,5085047.84807365
-154857.350970633,4815047.84807364
-124857.350970633,4835047.84807364
-94857.3509706333,5115047.84807365
-254857.350970633,4655047.84807364
-224857.350970633,5085047.84807365
85142.6490293667,5055047.84807364
-224857.350970633,5105047.84807365
205142.649029367,4985047.84807365
-544857.350970634,4825047.84807364
655142.649029367,5535047.84807365
-304857.350970633,4455047.84807365
-174857.350970633,4875047.84807364
-154857.350970633,4995047.84807365
45142.6490293667,5075047.84807365
-134857.350970633,4845047.84807364
105142.649029367,5025047.84807365
-14857.3509706333,5095047.84807365
115142.649029367,5005047.84807365
-464857.350970634,4795047.84807364
3625142.64902937,6225047.84807365
-184857.350970633,5125047.84807365
605142.649029367,7245047.84807364
5142.64902936667,5085047.84807365
-224857.350970633,4605047.84807365
-134857.350970633,5135047.84807365
35142.6490293667,5065047.84807365
-474857.350970634,4815047.84807364
-24857.3509706333,6035047.84807365
-244857.350970633,5155047.84807365
2035142.64902937,4935047.84807364
-504857.350970634,4815047.84807364
-364857.350970633,4715047.84807365
-194857.350970633,5105047.84807365
-274857.350970633,4875047.84807364
135142.649029367,5065047.84807365
-464857.350970634,4735047.84807364
-34857.3509706333,5075047.84807365
-214857.350970633,5115047.84807365
-164857.350970633,4835047.84807364
-334857.350970633,4675047.84807364
625142.649029367,5485047.84807365
-134857.350970633,5145047.84807365
-464857.350970634,4815047.84807364
-224857.350970633,5145047.84807365
1945142.64902937,4935047.84807364
75142.6490293667,5095047.84807365
-244857.350970633,4575047.84807365
-304857.350970633,4435047.84807365
-664857.350970633,5075047.84807365
-494857.350970634,4815047.84807364
-584857.350970633,5095047.84807365
-144857.350970633,5155047.84807365
3205142.64902937,5255047.84807365
-444857.350970634,4805047.84807364
655142.649029367,5555047.84807365
145142.649029367,5055047.84807364
965142.649029367,6485047.84807364
-194857.350970633,5035047.84807365
-284857.350970633,4475047.84807365
3315142.64902937,5245047.84807365
185142.649029367,5055047.84807364
-244857.350970633,5035047.84807365
